A44085201 파장화남2차
A44085102 파장삼익
A44077501 북수원I-PARK
A44077502 파장현대아파트
A44083704 정자아너스빌
A44083801 삼성미도
A44073504 정자청솔마을SK한화
A44030004 정자백설마을주공2단지
A44072107 정자꽃뫼노을마을대동
A44084206 정자한마루
A44072111 정자케이티이편한세상
A44071909 삼환나우빌
A44083103 정자신미주
A44073411 정자청솔마을한라비발디
A44072102 정자꽃뫼노을마을장안
A44073307 정자청솔마을주공6단지
A44070706 정자동신1차
A44071901 정자백설마을효성
A44070703 정자동신3차
A44070707 정자동신2차
A44084002 정자그린맨션
A44072108 정자꽃뫼노을마을신안
A44072212 화서역 우방 센트럴파크
A44072110 정자꽃뫼노을마을한국
A44084005 정자벽산블루밍
A44071908 정자백설마을코오롱현대
A44071906 백설마을동양성지
A44072805 정자대월마을대림진흥
A44072209 정자두견마을벽산3차
A44072003 정자연꽃마을벽산
A44072010 정자연꽃마을풍림
A44071902 정자백설마을주공1단지
A44083104 정자현대아파트
A44072806 대월마을주공아파트
A44030002 정자신호
A44072211 정자두견마을현대벽산
A44030005 수원SK스카이뷰
A44083301 정자금강에스쁘아
A10027415 수원 정자2차 희성연인아파트 
A44070601 수원장안힐스테이트
A44070602 수원장안STX칸
A44072413 스타힐스3단지
A44072408 율전밤꽃마을주공2단지
A44073707 율전이안
A44072414 서희스타힐스1단지2단지
A44073805 율전벽산블루밍
A44082602 율전늘푸른벽산
A44070506 율전삼성1단지
A44072611 율전신일
A44082703 율전화남
A44070509 율전삼성2단지
A44072412 율전밤꽃마을뜨란채
A10026691 수원 성균관대역동문굿모닝힐
A44073205 천천비단마을신명
A44071301 삼호진덕
A44071704 천천비단마을현대성우우방
A44072503 천천신안한일
A44033001 천천비단마을영풍마드레빌
A44072307 천천삼성래미안
A44073008 천천비단마을베스트타운
A44033010 천천푸르지오
A44072702 천천일성
A44071006 천천현대
A44081901 동성영화타운
A44081601 태영
A44021001 송죽희훈루체팰리스
A44021003 수원로얄팰리스
A44080402 송죽동진맨션
A10027135 수원 아너스빌 위즈
A44070801 조원벽산
A44070904 수원한일타운아파트
A44071602 조원주공뉴타운1단지
A44071603 조원주공뉴타운2단지
A44070202 광교산임광그대가
A44070201 광교산스위첸
A44080703 연무신미주
A44080701 연무성원
A44174403 세류성원
A44175501 세류현대
A44111001 세류한라녹턴
A44175403 권선데시앙
A44175402 세류미영
A44175503 수원권선어울림아파트
A44175502 세류삼익
A44187701 세류한주
A10027871 LH 수원센트럴타운 3단지 
A10027961 수원센트럴타운1단지
A10027921 수원센트럴타운2단지 
A44176001 평동동남
A44176406 고색우림필유
A44180402 고색상우
A44172904 고색2차태산
A44172807 고색태산1차
A44172708 고색대한
A44172605 고색연합대원
A44172603 고색거산
A44172606 연안
A44175602 오목천청구1차
A44176505 오목천대우푸르지오1단지
A44135004 오목천영조아름다운나날
A44184901 오목천태산
A44175707 오목천청구2차
A44176506 오목천대우푸르지오2단지
A44176609 오목천상송마을주공
A44135003 오목천남광하우스토리
A10026396 수원권선꿈에그린아파트
A10027422 오목천역 서희스타힐스아파트
A44185701 서수원울트라참누리
A44176304 서둔센트라우스
A44175303 화서동남
A44175302 화서성일
A44173303 구운일월청구
A44173004 구운 강남아파트
A44173101 구운선경
A44173008 엠코타운르본느
A44173405 코오롱하늘채아파트
A44173006 구운삼환
A44173202 구운성원
A44173007 구운오페라하우스
A44175801 탑동삼성
A44175902 탑동우방파크타운
A44184101 금곡동성
A44174704 금곡삼익1차
A44174607 금곡강남
A44184103 금곡일신건영
A44174602 금곡거산
A44174608 수원호매실휴먼시아4단지
A44174906 금곡삼익3차
A44175005 금곡신미주
A44174609 수원호매실휴먼시아8단지
A44174613 수원호매실가온마을3단지
A44174612 와이시티 (Y CITY)
A44170408 금곡엘지빌리지아파트
A44174611 수원호매실휴먼시아5단지
A10027067 호매실 호반베르디움 더퍼스트
A10026885 호반베르디움더센트럴아파트
A10025992 수원 모아미래도센트럴타운 
A44188401 호매실신미주
A44170804 호매실GS
A44188402 호매실쌍용
A44170805 호매실휴먼시아15단지
A44170803 호매실삼익2차
A44174610 수원호매실휴먼시아7단지
A44170806 수원호매실휴먼시아16단지
A10028092 호매실마을13단지
A44170808 호매실스위첸 능실마을19단지
A10026603 수원 호매실벨섬시티 14단지
A10027696 수원호매실능실마을22단지
A10026230 호매실한양수자인파크원
